"","Year","Seas","Fleet","Gender","Partition","AgeError","LbinLo","LbinHi","nSamps","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20"
"1","2017","1",NA,"2","2",NA,"30","30",1,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2017","1",NA,"2","2",NA,"44","44",1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2017","1",NA,"2","2",NA,"54","54",2,"0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","2017","1",NA,"2","2",NA,"56","56",1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","2017","1",NA,"2","2",NA,"60","60",2,"0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","2017","1",NA,"2","2",NA,"62","62",1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2017","1",NA,"2","2",NA,"66","66",2,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","2017","1",NA,"2","2",NA,"68","68",1,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9","2017","1",NA,"2","2",NA,"70","70",2,"0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","2017","1",NA,"2","2",NA,"74","74",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","2018","1",NA,"2","2",NA,"38","38",1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","2018","1",NA,"2","2",NA,"56","56",1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","2018","1",NA,"2","2",NA,"60","60",1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","2018","1",NA,"2","2",NA,"64","64",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","2018","1",NA,"2","2",NA,"66","66",3,"0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","2018","1",NA,"2","2",NA,"68","68",4,"0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"17","2018","1",NA,"2","2",NA,"70","70",2,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","2018","1",NA,"2","2",NA,"74","74",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"19","2019","1",NA,"2","2",NA,"54","54",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","2019","1",NA,"2","2",NA,"64","64",1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","2019","1",NA,"2","2",NA,"66","66",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","2019","1",NA,"2","2",NA,"70","70",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
