"Year","Seas","Fleet","Gender","Partition","AgeError","LbinLo","LbinHi","nSamps","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20"
"2016","7","9","1","0","1","36","36",2,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","38","38",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","44","44",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","46","46",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","48","48",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","50","50",4,"0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","52","52",5,"0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","54","54",7,"0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","56","56",13,"0","0","0","5","4","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","58","58",8,"0","0","0","4","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","60","60",3,"0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","62","62",13,"0","0","0","0","8","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","64","64",14,"0","0","0","2","4","3","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","66","66",11,"0","0","0","2","4","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","68","68",11,"0","0","0","0","3","4","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","70","70",14,"0","0","0","1","1","3","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","72","72",14,"0","0","0","1","2","3","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","74","74",12,"0","0","0","1","2","1","3","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","76","76",32,"0","0","0","0","5","3","3","11","8","1","1","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","78","78",40,"0","0","0","1","2","5","3","12","11","6","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","80","80",56,"0","0","0","2","5","9","2","11","18","6","1","1","1","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","82","82",43,"0","0","1","0","1","7","2","5","11","7","5","0","2","1","1","0","0","0","0","0","0"
"2016","7","9","1","0","1","84","84",28,"0","0","0","1","1","0","3","6","9","3","1","1","1","0","1","0","0","1","0","0","0"
"2016","7","9","1","0","1","86","86",29,"0","0","0","0","1","3","2","6","10","1","3","1","1","0","0","0","1","0","0","0","0"
"2016","7","9","1","0","1","88","88",15,"0","0","0","0","0","1","1","4","6","1","1","0","0","0","1","0","0","0","0","0","0"
"2016","7","9","1","0","1","90","90",16,"0","0","0","0","1","1","0","1","8","2","2","1","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","92","92",6,"0","0","0","1","1","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","94","94",8,"0","0","0","0","0","1","0","1","2","2","1","0","1","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","96","96",3,"0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"2016","7","9","1","0","1","98","98",4,"0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","100","100",4,"0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","104","104",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","108","108",3,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
