"Year","Seas","Fleet","Gender","Partition","AgeError","LbinLo","LbinHi","nSamps","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20"
"2016","7","9","1","0","1","24","24",1,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","32","32",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","34","34",1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","38","38",2,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","40","40",3,"0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","42","42",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","44","44",2,"0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","46","46",4,"0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","48","48",7,"0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","50","50",6,"0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","52","52",7,"0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","54","54",10,"0","0","0","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","56","56",7,"0","0","0","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","58","58",5,"0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","60","60",11,"0","0","0","3","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","62","62",8,"0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","64","64",9,"0","0","0","0","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","66","66",7,"0","0","0","0","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","68","68",12,"0","0","0","0","1","3","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","70","70",6,"0","0","0","0","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","72","72",7,"0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","74","74",6,"0","0","0","0","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","76","76",4,"0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","78","78",9,"0","0","0","0","0","1","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","80","80",3,"0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","82","82",5,"0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","84","84",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","86","86",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","88","88",1,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","7","9","1","0","1","94","94",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","52","52",2,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","54","54",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","56","56",2,"0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","58","58",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","62","62",4,"0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","64","64",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","66","66",4,"0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","68","68",3,"0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","70","70",3,"0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","74","74",3,"0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","76","76",2,"0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","78","78",2,"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","80","80",3,"0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","82","82",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","84","84",2,"0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","90","90",1,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","9","1","0","1","94","94",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
