"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M0.1","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1"
2003,"Month","Fleet",2,0,"Enter",16,16,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",18,18,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",20,20,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",22,22,6,83.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",24,24,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",26,26,3,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",28,28,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",30,30,8,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",32,32,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",34,34,3,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",36,36,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",38,38,3,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",40,40,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",42,42,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",44,44,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",46,46,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",48,48,5,0,0,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",50,50,6,0,0,50,33.3333333333333,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,50,33.3333333333333,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",52,52,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",54,54,4,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",56,56,3,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",58,58,3,0,0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",60,60,2,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
2003,"Month","Fleet",2,0,"Enter",62,62,2,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",16,16,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",18,18,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",20,20,6,83.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",22,22,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",26,26,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",28,28,3,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",30,30,11,0,63.6363636363636,36.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6363636363636,36.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",32,32,10,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",34,34,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",36,36,6,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",38,38,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",42,42,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",44,44,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",46,46,7,0,0,14.2857142857143,57.1428571428571,28.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,57.1428571428571,28.5714285714286,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",48,48,7,0,0,0,85.7142857142857,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7142857142857,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",50,50,9,0,0,0,66.6666666666667,11.1111111111111,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,11.1111111111111,22.2222222222222,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",52,52,15,0,0,0,46.6666666666667,33.3333333333333,20,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6666666666667,33.3333333333333,20,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",54,54,8,0,0,0,12.5,50,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,50,25,12.5,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",56,56,17,0,0,0,11.7647058823529,41.1764705882353,35.2941176470588,11.7647058823529,0,0,0,0,0,0,0,0,0,0,0,0,11.7647058823529,41.1764705882353,35.2941176470588,11.7647058823529,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",58,58,9,0,0,0,11.1111111111111,33.3333333333333,33.3333333333333,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,33.3333333333333,33.3333333333333,22.2222222222222,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",60,60,6,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",62,62,4,0,0,0,25,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,50,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",64,64,3,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",66,66,3,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",68,68,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",70,70,2,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",72,72,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",78,78,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2004,"Month","Fleet",2,0,"Enter",88,88,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
