"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F-0","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","M-0","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20"
1999,7,4,3,0,1,-1,-1,178,0,0,0,2,17,26,23,14,8,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,12,22,21,12,8,2,0,1,0,0,0,0,0,0,0,0,0
2000,7,4,3,0,1,-1,-1,264,0,0,0,2,15,38,24,19,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,61,43,19,10,3,1,0,1,0,0,0,0,0,0,0,0
2001,7,4,3,0,1,-1,-1,791,0,0,0,0,28,96,127,76,41,26,18,5,3,2,0,0,0,0,0,0,0,0,0,0,3,32,92,122,61,30,17,10,2,0,0,0,0,0,0,0,0,0
2002,7,4,3,0,1,-1,-1,857,0,0,0,13,66,141,97,88,48,18,20,11,2,1,0,0,0,0,0,0,0,0,0,0,9,42,130,87,56,22,4,1,1,0,0,0,0,0,0,0,0,0
2003,7,4,3,0,1,-1,-1,805,0,0,0,27,149,92,65,46,32,21,10,11,2,2,1,1,1,0,0,0,0,0,0,0,18,123,87,57,25,20,10,3,0,2,0,0,0,0,0,0,0,0
2004,7,4,3,0,1,-1,-1,647,0,0,3,26,86,100,46,26,10,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,18,129,138,32,12,6,6,0,0,0,0,0,0,0,0,0,0,0
2005,7,4,3,0,1,-1,-1,540,0,0,0,21,48,62,43,15,6,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,27,87,116,60,27,11,5,1,1,0,0,0,0,0,0,0,0,0
2006,7,4,3,0,1,-1,-1,799,0,0,0,2,30,86,95,81,43,20,16,8,6,5,0,0,1,1,0,0,0,0,0,0,4,52,131,129,61,18,5,2,2,1,0,0,0,0,0,0,0,0
2007,7,4,3,0,1,-1,-1,788,0,0,0,18,63,67,70,67,45,29,18,5,6,1,0,0,1,0,0,0,0,0,0,0,20,80,108,91,57,31,9,1,1,0,0,0,0,0,0,0,0,0
2008,7,4,3,0,1,-1,-1,740,0,0,0,13,67,69,57,57,39,23,4,5,4,1,1,1,2,1,0,0,0,0,0,0,10,86,86,83,71,42,8,6,2,1,0,1,0,0,0,0,0,0
2012,7,4,3,0,1,-1,-1,260,0,0,0,14,38,22,15,13,4,7,2,3,5,2,1,2,0,1,0,0,1,0,0,0,7,51,25,15,10,6,7,2,3,3,1,0,0,0,0,0,0,0
2013,7,4,3,0,1,-1,-1,258,0,0,1,2,9,32,22,9,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,43,74,30,8,5,3,1,0,0,0,0,0,0,0,0,0,0
2014,7,4,3,0,1,-1,-1,259,0,0,0,21,35,18,18,19,6,2,1,3,3,1,1,1,0,0,1,0,0,0,0,1,18,37,26,25,10,5,3,1,1,1,1,0,0,0,0,0,0,0
2015,7,4,3,0,1,-1,-1,259,0,0,0,20,29,13,21,16,9,8,5,4,1,2,0,0,0,0,1,0,0,0,0,0,19,40,27,12,16,7,4,2,3,0,0,0,0,0,0,0,0,0
2016,7,4,3,0,1,-1,-1,260,0,0,0,34,28,16,17,11,11,6,3,1,0,0,1,2,0,0,0,0,0,0,0,0,37,31,19,19,11,6,6,1,0,0,0,0,0,0,0,0,0,0
2017,7,4,3,0,1,-1,-1,260,0,0,0,9,32,41,18,7,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,65,47,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,4,3,0,1,-1,-1,258,0,0,0,7,31,24,24,14,6,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,41,54,17,6,5,5,0,0,0,0,0,0,0,0,0,0,0
2019,7,4,3,0,1,-1,-1,258,0,0,0,11,11,31,38,6,8,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,27,30,46,15,9,6,3,0,0,0,0,1,0,0,0,0,0
