"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","U-0","U-1","U-2","U-3","U-4","U-5","U-6","U-7","U-8","U-9","U-10","U-11","U-12","U-13","U-14","U-15","U-16","U-17","U-18","U-19","U-20"
1979,1,"Fleet",0,0,1,-1,-1,19,0,0,0,0,1,1,6,4,4,3,0,0,0,0,0,0,0,0,0,0,0
1980,1,"Fleet",0,0,1,-1,-1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,"Fleet",0,0,1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,"Fleet",0,0,1,-1,-1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,1,"Fleet",0,0,1,-1,-1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,"Fleet",0,0,1,-1,-1,9,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",0,0,1,-1,-1,14,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",0,0,1,-1,-1,6,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",0,0,1,-1,-1,41,0,0,5,9,17,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",0,0,1,-1,-1,154,0,0,0,24,38,55,22,4,6,1,0,0,0,0,0,0,0,2,0,0,2
1997,1,"Fleet",0,0,1,-1,-1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,"Fleet",0,0,1,-1,-1,7,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,1,"Fleet",0,0,1,-1,-1,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",0,0,1,-1,-1,5,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",0,0,1,-1,-1,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",0,0,1,-1,-1,15,0,0,0,0,7,2,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2003,1,"Fleet",0,0,1,-1,-1,20,0,0,0,0,4,7,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,"Fleet",0,0,1,-1,-1,11,0,0,0,0,1,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,1,"Fleet",0,0,1,-1,-1,18,0,0,0,2,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,"Fleet",0,0,1,-1,-1,20,0,0,0,1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,"Fleet",0,0,1,-1,-1,39,0,0,0,7,19,6,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
2008,1,"Fleet",0,0,1,-1,-1,31,0,0,0,3,18,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0
2009,1,"Fleet",0,0,1,-1,-1,46,0,0,0,15,12,12,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,1,"Fleet",0,0,1,-1,-1,34,0,0,0,8,8,4,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,"Fleet",0,0,1,-1,-1,12,0,0,0,2,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",0,0,1,-1,-1,30,0,0,0,0,4,12,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0
2013,1,"Fleet",0,0,1,-1,-1,16,0,0,0,4,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Fleet",0,0,1,-1,-1,26,0,0,2,6,2,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,"Fleet",0,0,1,-1,-1,28,0,0,0,4,2,6,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,"Fleet",0,0,1,-1,-1,10,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,"Fleet",0,0,1,-1,-1,300,0,0,2,8,64,86,52,40,22,8,8,6,0,2,2,0,0,0,0,0,0
2018,1,"Fleet",0,0,1,-1,-1,348,0,0,2,22,37,99,96,48,18,14,8,2,0,0,2,0,0,0,0,0,0
2019,1,"Fleet",0,0,1,-1,-1,23,0,0,0,7,3,3,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0
2020,1,"Fleet",0,0,1,-1,-1,61,0,0,8,14,21,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
