"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F-0","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","M-0","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20"
1979,7,3,3,0,1,-1,-1,13,0,0,0,0,0,1,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,7,3,3,0,1,-1,-1,226,0,0,1,5,5,4,7,11,2,3,3,2,0,1,3,1,0,0,0,0,0,0,0,2,18,33,39,32,31,11,9,2,1,0,0,0,0,0,0,0,0,0
1981,7,3,3,0,1,-1,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1982,7,3,3,0,1,-1,-1,19,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,3,3,0,1,-1,-1,39,0,0,1,1,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,3,3,0,1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,3,3,0,1,-1,-1,342,0,0,1,5,19,21,18,21,21,17,11,9,6,4,3,3,1,2,2,1,0,0,0,2,20,33,20,14,18,23,15,10,6,7,2,2,2,1,0,1,1,0
1987,7,3,3,0,1,-1,-1,276,0,0,5,5,18,25,10,11,11,4,4,1,1,2,1,2,0,0,0,0,1,0,0,25,30,28,25,21,20,11,5,4,0,4,2,0,0,0,0,0,0,0
1988,7,3,3,0,1,-1,-1,250,0,1,11,28,11,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,93,20,14,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1989,7,3,3,0,1,-1,-1,227,0,0,3,10,14,9,7,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,44,50,28,13,8,7,4,2,1,1,0,0,0,0,0,0,0,0
1990,7,3,3,0,1,-1,-1,207,0,1,4,6,14,13,7,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,28,50,49,15,4,3,0,0,0,0,0,0,1,0,0,0,0,0
1991,7,3,3,0,1,-1,-1,247,0,0,1,16,10,8,19,14,3,7,3,3,4,3,1,4,2,4,0,0,0,0,0,7,28,27,17,31,7,16,3,3,3,1,1,0,0,0,0,0,1,0
1992,7,3,3,0,1,-1,-1,499,0,0,24,34,34,24,22,15,12,7,5,2,3,2,1,1,0,0,0,0,0,0,1,36,84,62,46,40,26,7,6,2,2,1,0,0,0,0,0,0,0,0
1993,7,3,3,0,1,-1,-1,530,0,1,26,51,43,25,20,12,8,3,4,1,1,1,0,0,1,0,0,0,0,0,0,37,122,73,41,20,13,11,2,7,6,0,0,1,0,0,0,0,0,0
1994,7,3,3,0,1,-1,-1,449,0,0,4,34,51,38,38,11,5,3,4,4,2,5,0,0,1,1,0,0,0,0,1,11,68,70,35,22,13,12,6,2,5,1,2,0,0,0,0,0,0,0
1995,7,3,3,0,1,-1,-1,648,0,0,3,27,62,68,38,37,12,8,4,3,1,0,1,1,0,1,0,0,0,0,0,9,53,144,86,49,15,8,7,5,1,2,1,0,0,0,0,0,2,0
1996,7,3,3,0,1,-1,-1,461,0,0,3,44,67,54,32,22,7,6,3,2,0,0,1,3,0,0,0,0,0,0,0,3,40,51,57,35,13,11,1,1,3,0,1,0,0,0,1,0,0,0
1997,7,3,3,0,1,-1,-1,446,0,0,3,39,48,41,38,13,9,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,44,77,49,30,25,2,6,3,4,1,0,0,0,0,0,0,0,0
1998,7,3,3,0,1,-1,-1,416,0,1,3,28,61,53,33,28,10,8,1,1,3,0,1,0,0,0,0,0,0,0,0,4,24,50,53,27,17,9,0,0,0,0,1,0,0,0,0,0,0,0
1999,7,3,3,0,1,-1,-1,432,0,0,0,30,67,65,29,18,12,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,29,66,53,32,14,5,4,0,2,1,0,0,0,0,0,0,0,0
2000,7,3,3,0,1,-1,-1,394,0,0,1,20,56,65,41,32,7,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,18,41,37,30,18,8,3,2,2,0,1,0,0,0,0,0,0,0
2001,7,3,3,0,1,-1,-1,560,0,0,0,16,75,89,69,37,19,9,4,4,1,0,0,0,0,0,0,0,0,0,0,2,13,61,49,53,25,20,9,4,1,0,0,0,0,0,0,0,0,0
