"Year","All_Fish","Sexed_Fish","Unsexed_Fish"
1983,164,0,164
1984,439,0,439
1985,605,0,605
1986,668,0,668
1987,401,0,401
1988,417,0,417
1989,319,0,319
1993,553,0,553
1994,326,0,326
1995,339,0,339
1996,634,0,634
1997,1309,0,1309
1998,383,0,383
1999,600,0,600
2000,194,0,194
2001,117,0,117
2002,821,0,821
2003,1309,0,1309
2004,943,28,915
2005,3107,174,2933
2006,3362,429,2933
2007,2134,593,1541
2008,1816,737,1079
2009,1690,826,864
2010,1156,613,543
2011,3237,1431,1806
2012,3931,1663,2268
2013,5715,4232,1483
2014,7028,6472,556
2015,9727,9175,552
2016,7755,7501,254
2017,6002,5812,190
2018,4325,4178,147
2019,3001,2867,134
2020,8,4,4
