"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
1983,1,"Fleet",0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,8,2,0,3,1,0,2,3,1,2,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,"Fleet",0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,5,1,4,8,1,10,4,5,9,6,4,5,4,1,1,3,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,"Fleet",0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,9,5,7,14,13,15,11,8,9,16,6,9,4,6,4,13,4,5,2,6,4,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
1986,1,"Fleet",0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2,2,8,3,4,6,4,6,5,10,7,3,3,3,3,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,"Fleet",0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,3,1,1,4,6,2,2,0,4,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,"Fleet",0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,4,1,2,2,4,3,4,1,0,0,1,0,2,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,"Fleet",0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,4,2,2,1,1,1,4,2,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,9,11,12,11,18,2,6,4,5,3,4,4,1,3,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,8,5,6,1,6,6,6,4,5,3,2,2,2,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",0,0,58,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,3,2,0,6,7,6,6,5,4,1,1,2,2,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,4,5,10,13,6,19,15,11,12,7,10,4,4,8,7,2,2,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,1,"Fleet",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,3,2,1,2,3,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,"Fleet",0,0,126,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,1,0,2,6,10,17,9,12,11,14,11,3,7,1,4,0,1,1,2,1,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,1,"Fleet",0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,3,23,21,6,6,7,19,4,7,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,11,6,6,1,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,8,3,3,1,2,0,0,4,5,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2,3,5,1,1,2,2,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,"Fleet",0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9,11,15,8,8,13,6,6,5,5,7,2,6,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,"Fleet",0,0,206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,3,9,5,5,8,11,31,26,22,10,11,9,8,7,3,7,11,5,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2005,1,"Fleet",0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,9,22,89,132,108,121,157,112,96,71,87,79,55,46,35,23,31,18,19,14,23,14,19,1,3,1,3,2,0,0,0,0,1,0,0,0,0,0
