"year","month","fleet","sex","partition","Nsamp","F10","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F68","F70","F72","F74","F76","F78","F80","F82","F84","F86","F88","F90","F92","F94","F96","F98","F100","F102","F104","F106","F108","F110","F112","M10","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M68","M70","M72","M74","M76","M78","M80","M82","M84","M86","M88","M90","M92","M94","M96","M98","M100","M102","M104","M106","M108","M110","M112"
2003,"Month","Fleet",3,0,176,0,0.214132762312634,0.428265524625268,2.14132762312634,5.99571734475375,4.92505353319058,6.85224839400428,1.71306209850107,1.71306209850107,1.49892933618844,1.71306209850107,0.642398286937901,0.642398286937901,0.856531049250535,0.428265524625268,1.2847965738758,1.2847965738758,2.78372591006424,2.56959314775161,1.49892933618844,1.71306209850107,1.2847965738758,2.56959314775161,1.71306209850107,1.71306209850107,2.35546038543897,1.9271948608137,1.71306209850107,0.856531049250535,0.856531049250535,1.07066381156317,0.428265524625268,0.214132762312634,0.642398286937901,0.428265524625268,0.428265524625268,0.214132762312634,0.642398286937901,0,0,0.214132762312634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428265524625268,2.14132762312634,5.99571734475375,4.92505353319058,4.06852248394004,1.9271948608137,0.642398286937901,0.642398286937901,2.56959314775161,1.2847965738758,0.856531049250535,0.642398286937901,1.07066381156317,0.642398286937901,1.07066381156317,1.07066381156317,0.856531049250535,1.49892933618844,2.14132762312634,1.07066381156317,1.07066381156317,1.07066381156317,1.07066381156317,0.642398286937901,0.428265524625268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",3,0,168,0,0,0.177462289263531,0.0887311446317657,0.177462289263531,0.62111801242236,0.177462289263531,0,0.354924578527063,1.50842945874002,1.86335403726708,2.39574090505768,1.50842945874002,2.66193433895297,2.12954747116238,1.59716060337178,0.798580301685892,0.532386867790595,1.41969831410825,0.443655723158829,2.12954747116238,3.99290150842946,4.52528837622005,4.34782608695652,4.61401952085182,3.19432120674357,2.66193433895297,3.6379769299024,5.67879325643301,2.12954747116238,1.59716060337178,0.62111801242236,1.06477373558119,0.354924578527063,0.266193433895297,0.532386867790595,0.177462289263531,0,0,0,0,0,0.177462289263531,0.177462289263531,0,0,0,0,0,0,0,0,0,0,0,0.0887311446317657,0.177462289263531,0.532386867790595,0.0887311446317657,0,0.62111801242236,0.62111801242236,0.976042590949423,1.24223602484472,1.50842945874002,1.86335403726708,1.59716060337178,0.443655723158829,0.177462289263531,0.266193433895297,1.06477373558119,0.887311446317657,2.92812777284827,2.92812777284827,3.72670807453416,6.2111801242236,2.21827861579414,2.8393966282165,2.30700976042591,2.12954747116238,0.887311446317657,0.709849157054126,0.266193433895297,0.0887311446317657,0,0,0.177462289263531,0,0,0,0,0.0887311446317657,0,0,0,0,0,0,0,0,0,0,0,0
2005,"Month","Fleet",3,0,178,0,0.757575757575758,1.13636363636364,1.13636363636364,1.89393939393939,1.13636363636364,1.13636363636364,0,0.757575757575758,0.757575757575758,0.757575757575758,1.13636363636364,1.13636363636364,0.378787878787879,1.51515151515152,1.51515151515152,0.378787878787879,0.757575757575758,2.65151515151515,0.757575757575758,0.378787878787879,0.757575757575758,1.89393939393939,1.89393939393939,3.03030303030303,2.65151515151515,3.78787878787879,4.92424242424242,4.92424242424242,5.68181818181818,4.16666666666667,2.65151515151515,3.40909090909091,1.51515151515152,2.65151515151515,0.757575757575758,0.757575757575758,0.757575757575758,1.13636363636364,0.378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378787878787879,0,1.51515151515152,1.89393939393939,0,0.378787878787879,0,0,0.757575757575758,3.03030303030303,0.378787878787879,0.378787878787879,1.51515151515152,0.757575757575758,2.27272727272727,1.13636363636364,0.378787878787879,1.13636363636364,0,0,0.378787878787879,1.13636363636364,1.89393939393939,1.51515151515152,3.78787878787879,1.51515151515152,2.27272727272727,0.757575757575758,1.13636363636364,1.13636363636364,0,0,0.378787878787879,0.378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Month","Fleet",3,0,107,0,0,0,0,0,0.440528634361233,0,0.881057268722467,0.440528634361233,0,3.52422907488987,2.20264317180617,1.3215859030837,0.440528634361233,0.440528634361233,0,0.440528634361233,1.76211453744493,0.440528634361233,1.3215859030837,2.20264317180617,2.20264317180617,3.52422907488987,2.20264317180617,2.20264317180617,0.881057268722467,3.08370044052863,3.9647577092511,1.76211453744493,3.9647577092511,2.6431718061674,4.40528634361233,4.40528634361233,2.20264317180617,1.76211453744493,3.52422907488987,2.20264317180617,1.3215859030837,0.440528634361233,0.440528634361233,0.881057268722467,0.440528634361233,0.440528634361233,0,0.440528634361233,0,0,0,0,0,0,0,0,0,0,0,0.440528634361233,0,0,0,0,0,0.881057268722467,1.76211453744493,0.881057268722467,0.881057268722467,0.440528634361233,0,0.440528634361233,0.440528634361233,0.440528634361233,2.20264317180617,0.881057268722467,0.881057268722467,1.76211453744493,4.40528634361233,2.20264317180617,2.6431718061674,2.20264317180617,2.6431718061674,1.3215859030837,1.76211453744493,1.3215859030837,2.20264317180617,0.881057268722467,0.440528634361233,0.440528634361233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","Fleet",3,0,88,0,0,0,0,0,0,0,0,0,2.56410256410256,1.28205128205128,1.28205128205128,0,0,0,0,1.28205128205128,3.84615384615385,1.28205128205128,1.28205128205128,3.84615384615385,2.56410256410256,0,5.12820512820513,3.84615384615385,2.56410256410256,5.12820512820513,2.56410256410256,3.84615384615385,0,1.28205128205128,2.56410256410256,6.41025641025641,3.84615384615385,2.56410256410256,1.28205128205128,2.56410256410256,3.84615384615385,0,1.28205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28205128205128,0,0,0,0,0,0,1.28205128205128,1.28205128205128,1.28205128205128,0,0,0,0,0,0,0,1.28205128205128,1.28205128205128,1.28205128205128,2.56410256410256,1.28205128205128,1.28205128205128,5.12820512820513,1.28205128205128,5.12820512820513,1.28205128205128,3.84615384615385,0,1.28205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","Fleet",3,0,171,0,0,0,4.77815699658703,14.6757679180887,5.46075085324232,5.80204778156997,5.11945392491468,2.04778156996587,2.04778156996587,5.80204778156997,1.70648464163823,3.7542662116041,1.02389078498294,0.68259385665529,0,0,0,0,0,0,1.02389078498294,0.68259385665529,0,0.341296928327645,0.341296928327645,1.36518771331058,0.341296928327645,0,0.68259385665529,0.68259385665529,0.68259385665529,1.36518771331058,0.341296928327645,0.68259385665529,1.02389078498294,1.02389078498294,0,1.36518771331058,0.341296928327645,0,0.341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43686006825939,5.11945392491468,6.14334470989761,5.11945392491468,1.70648464163823,0.68259385665529,0.68259385665529,2.04778156996587,2.04778156996587,1.70648464163823,0.341296928327645,0.341296928327645,0,0,0,0.341296928327645,0,0.341296928327645,0.341296928327645,0,0.341296928327645,0.341296928327645,0.68259385665529,0,0,0.341296928327645,0.68259385665529,0,0.341296928327645,0.341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Month","Fleet",3,0,228,0,0,0,0.636942675159236,2.86624203821656,2.54777070063694,5.09554140127389,9.23566878980892,7.32484076433121,8.28025477707006,6.36942675159236,1.91082802547771,3.5031847133758,2.86624203821656,0.636942675159236,0.955414012738854,0.955414012738854,0.955414012738854,0,0.318471337579618,0.318471337579618,0,0,1.91082802547771,0,1.27388535031847,2.86624203821656,1.59235668789809,0,1.27388535031847,1.27388535031847,0.636942675159236,0,0.955414012738854,1.59235668789809,0.318471337579618,0,0,0,0,0,0.318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955414012738854,1.59235668789809,0.955414012738854,2.54777070063694,3.5031847133758,3.82165605095541,2.22929936305732,3.5031847133758,2.86624203821656,1.27388535031847,1.27388535031847,0.955414012738854,0.318471337579618,0.636942675159236,0.636942675159236,0,0.318471337579618,0,0.636942675159236,0.955414012738854,0.318471337579618,0.318471337579618,0.636942675159236,0.636942675159236,0,0,0.318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Month","Fleet",3,0,211,0,0.210526315789474,1.26315789473684,2.73684210526316,4.21052631578947,5.26315789473684,4.21052631578947,2.10526315789474,2.10526315789474,6.31578947368421,8.21052631578947,7.57894736842105,4.42105263157895,1.05263157894737,1.47368421052632,0.210526315789474,0.421052631578947,0.842105263157895,0.631578947368421,0.210526315789474,0.421052631578947,0.421052631578947,0,0.842105263157895,0.210526315789474,0.210526315789474,0.210526315789474,0.210526315789474,0.421052631578947,0.421052631578947,0.631578947368421,0.631578947368421,0.210526315789474,0.210526315789474,0.421052631578947,0.421052631578947,0,0.421052631578947,0,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10526315789474,4.84210526315789,4.21052631578947,3.78947368421053,2.31578947368421,2.52631578947368,1.68421052631579,3.15789473684211,5.05263157894737,3.36842105263158,1.47368421052632,2.10526315789474,0.631578947368421,0,0,0.842105263157895,0.421052631578947,0,0.210526315789474,0,0,0,0.210526315789474,0.210526315789474,0,0,0,0,0.421052631578947,0,0,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Month","Fleet",3,0,249,0,0,0,0.945179584120983,2.83553875236295,7.93950850661626,3.21361058601134,4.53686200378072,4.91493383742911,6.42722117202268,7.18336483931947,6.23818525519849,3.40264650283554,1.70132325141777,0.56710775047259,1.32325141776938,0.56710775047259,0.378071833648393,0.378071833648393,0,0.56710775047259,0.56710775047259,0.378071833648393,0.189035916824197,1.32325141776938,0.945179584120983,0,0,0.756143667296786,0,0.189035916824197,0,0.378071833648393,0.756143667296786,0,0.189035916824197,0.189035916824197,0.189035916824197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945179584120983,2.83553875236295,5.2930056710775,2.83553875236295,4.15879017013232,3.59168241965974,3.40264650283554,3.78071833648393,3.78071833648393,1.89035916824197,2.45746691871456,0.56710775047259,0.378071833648393,0,0.756143667296786,0.756143667296786,0.189035916824197,0,0.189035916824197,0.945179584120983,0,0.189035916824197,0.189035916824197,0.945179584120983,0.378071833648393,0.189035916824197,0,0,0.189035916824197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Month","Fleet",3,0,254,0,0,0.0935453695042095,0.841908325537886,2.61927034611787,4.58372310570627,2.61927034611787,3.08699719363891,2.99345182413471,5.14499532273152,4.77081384471469,3.46117867165575,2.24508886810103,1.49672591206735,1.9644527595884,1.68381665107577,2.15154349859682,1.68381665107577,2.43217960710945,1.68381665107577,1.49672591206735,1.49672591206735,0.841908325537886,2.33863423760524,1.49672591206735,0.467726847521048,1.59027128157156,1.21608980355472,0.654817586529467,0.280636108512629,0.0935453695042095,0.374181478016838,0.187090739008419,0.0935453695042095,0.0935453695042095,0.0935453695042095,0.280636108512629,0.467726847521048,0.0935453695042095,0.187090739008419,0.187090739008419,0,0,0,0.0935453695042095,0,0,0,0,0,0,0,0,0,0,0.0935453695042095,1.30963517305893,1.9644527595884,2.52572497661366,2.05799812909261,1.87090739008419,2.43217960710945,3.64826941066417,2.61927034611787,1.77736202057998,1.87090739008419,1.77736202057998,0.935453695042095,1.68381665107577,2.80636108512629,1.0289990645463,1.59027128157156,1.9644527595884,2.05799812909261,1.12254443405051,1.87090739008419,0.187090739008419,0.374181478016838,0.467726847521048,0.280636108512629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
