"Year","Season","Fleet","Value","seLogB"
"2003",NA,NA,41024471.7646121,0.334310831178055
"2004",NA,NA,31073489.9512342,0.271801286713325
"2005",NA,NA,28791331.7620118,0.413273715022798
"2006",NA,NA,43483590.2061272,0.36476106679326
"2007",NA,NA,18749039.6020573,0.371808177229181
"2008",NA,NA,14669046.2656371,0.180152444141188
"2009",NA,NA,14709960.9161875,0.352318417560896
"2010",NA,NA,15099073.0265672,0.178970949516009
"2011",NA,NA,19673489.1381468,0.201805994709966
"2012",NA,NA,29789847.0841727,0.229512352525083
"2013",NA,NA,21221353.9256431,0.14981396841952
"2014",NA,NA,47476417.1270032,0.265228465269129
"2015",NA,NA,23134784.9242022,0.143258745016832
"2016",NA,NA,24747944.4685697,0.117577710812849
"2017",NA,NA,25411160.0481651,0.13704341180406
"2018",NA,NA,33458993.258127,0.35913947841161
"2019",NA,NA,16479614.9221217,0.207745619553658
