"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"8","SR_LN(R0)",8,5569.03,0.037854,16063.7,3002.72,0.186926,7
"7","SR_LN(R0)",8.25,5308.54,0.000103638,12333.8,4028.02,0.326583,7
"6","SR_LN(R0)",8.5,5089.97,0.000105478,11280.3,4360.42,0.38655,6
"5","SR_LN(R0)",8.75,5080.99,0.000141678,11661.7,5357.32,0.459393,6
"4","SR_LN(R0)",9,5073.41,3.56759e-05,12387.9,6495.54,0.524345,6
"3","SR_LN(R0)",9.25,5067.66,0.000487686,13459.2,7814.67,0.580619,6
"2","SR_LN(R0)",9.5,5063.82,0.00026033,14890.3,9370.35,0.629294,6
"1","SR_LN(R0)",9.75,5061.68,6.83784e-05,16720.3,11180.8,0.668697,7
"9","SR_LN(R0)",9.95039,5061.09,0.000114726,18566.9,12946.4,0.697283,7
"10","SR_LN(R0)",10,5061.11,4.27023e-05,19082.5,13419.9,0.703258,7
"11","SR_LN(R0)",10.25,5061.97,8.35122e-05,22133.3,16221,0.732879,7
"12","SR_LN(R0)",10.5,5063.79,9.94006e-05,26122.5,19895.1,0.761607,6
"13","SR_LN(R0)",10.75,5066.07,0.00015975,31395.9,24754.5,0.788462,6
"14","SR_LN(R0)",11,5068.37,3.23647e-05,38144.3,30906.8,0.81026,6
