"Year","OFL","ABC","ACL","Landings","Total Mortality"
2011,"fill in","fill in","fill in","631.14","657.19"
2012,"fill in","fill in","fill in","784.03","811.65"
2013,"fill in","fill in","fill in","860.19","881.28"
2014,"fill in","fill in","fill in","716.13","728.86"
2015,"fill in","fill in","fill in","796.16","808.29"
2016,"fill in","fill in","fill in","789.45","806.49"
2017,"fill in","fill in","fill in","1,144.47","1,172.02"
2018,"fill in","fill in","fill in","1,014.26","1,035.71"
2019,"fill in","fill in","fill in","980.92","1,004.75"
2020,"fill in","fill in","fill in","783.66","803.86"
