"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_45%)","Exploitation Rate"
1889,33605.9,26443.6,32617.3,1,2253.38,20.71481,0.014199,0.000635086595150426
1890,33583.9,26428.6,32595.3,0.999432754995538,2253.08,41.4296,0.0283161,0.00127102987240492
1891,33540.1,26397.7,32551.5,0.998264230286345,2252.44,62.1445,0.0423892,0.00190911325130946
1892,33475,26350.6,32486.6,0.996483080972334,2251.46,82.8595,0.0564481,0.00255057469849107
1893,33389.4,26287.4,32401.5,0.994093088686866,2250.13,71.8597,0.0492164,0.00221778929987809
1894,33318.1,26231.5,32330.6,0.991979155636903,2248.95,60.8598,0.0418644,0.00188242098816601
1895,33262.1,26185,32275.1,0.99022069612307,2247.98,49.8598,0.0344151,0.00154483797106748
1896,33221.7,26149.2,32235.2,0.988866871379086,2247.23,50.667,0.0349851,0.00157179108552142
1897,33184.3,26116.1,32198.2,0.987615150735906,2246.54,51.4741,0.0355526,0.00159866390046649
1898,33149.5,26085.5,32163.7,0.986457970926803,2245.91,52.2812,0.0361203,0.00162547219380855
1899,33117,26057.1,32131.6,0.985383987051687,2245.33,53.0883,0.0366895,0.00165221464228361
1900,33086.6,26030.5,32101.4,0.984378072577108,2244.79,63.4908,0.0438139,0.00197782028198147
1901,33047.7,25998.7,32062.8,0.983175513167647,2244.13,73.8933,0.0509415,0.00230464276357648
1902,33000.2,25961,32015.6,0.981749837389765,2243.35,84.2959,0.0580795,0.00263296330538862
1903,32944.2,25916.9,31959.9,0.980082137076646,2242.44,94.6985,0.065232,0.00296304118598619
1904,32879.8,25866.5,31895.9,0.978176193861653,2241.38,105.1012,0.0724019,0.00329513197621011
1905,32807.5,25809.7,31824,0.976028226111422,2240.19,93.8022,0.0649054,0.00294753016591252
1906,32750.6,25762.5,31767.6,0.974243295164047,2239.2,82.5031,0.057292,0.00259708319167957
1907,32709.6,25726.1,31727,0.972866780619885,2238.46,71.2039,0.049584,0.00224426828883916
