"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,1126.69,901.893,722.002,577.992,462.706,370.415,296.533,237.386,190.037,152.133,121.788,97.4966,78.05,62.4822,50.0196,40.0427,32.0558,25.662,20.5435,16.4459,13.1656,10.5396,8.43738,6.75447,5.40722,21.7022
1890,1126.54,901.961,721.939,577.698,462.324,370.027,296.179,237.083,189.784,151.926,121.62,97.3608,77.9407,62.3944,49.9491,39.9862,32.0106,25.6257,20.5144,16.4226,13.147,10.5247,8.42545,6.74492,5.39958,21.6715
1891,1126.22,901.84,721.929,577.353,461.705,369.332,295.515,236.496,189.289,151.516,121.286,97.0905,77.7228,62.2192,49.8085,39.8734,31.9202,25.5533,20.4564,16.3762,13.1098,10.4949,8.40161,6.72583,5.3843,21.6102
1892,1125.73,901.584,721.769,577.05,461.045,368.448,294.605,235.661,188.567,150.912,120.791,96.6879,77.3976,61.9574,49.5981,39.7046,31.7848,25.4449,20.3696,16.3066,13.0541,10.4503,8.3659,6.69724,5.36141,21.5183
1893,1125.06,901.19,721.499,576.623,460.415,367.529,293.544,234.63,187.647,150.129,120.141,96.1565,76.9668,61.6099,49.3186,39.4802,31.6048,25.3006,20.254,16.214,12.9799,10.3909,8.31836,6.65918,5.33094,21.396
1894,1124.48,900.658,721.217,576.562,460.274,367.229,292.995,233.942,186.956,149.503,119.603,95.7088,76.6,61.3122,49.0782,39.2867,31.4494,25.1759,20.154,16.134,12.9158,10.3396,8.27723,6.62625,5.30458,21.2902
1895,1123.99,900.188,720.826,576.492,460.427,367.321,292.941,233.663,186.539,149.06,119.192,95.3511,76.3001,61.0655,48.8776,39.1245,31.3188,25.0709,20.0698,16.0664,12.8617,10.2962,8.2425,6.59844,5.28231,21.2008
1896,1123.62,899.798,720.483,576.335,460.575,367.649,293.201,233.78,186.45,148.837,118.927,95.0942,76.072,60.8722,48.7177,38.994,31.2131,24.9857,20.0012,16.0113,12.8175,10.2608,8.21415,6.57573,5.26412,21.1277
1897,1123.27,899.499,720.168,576.05,460.435,367.752,293.449,233.975,186.533,148.757,118.742,94.8776,75.8627,60.6867,48.5606,38.8642,31.1072,24.8999,19.932,15.9557,12.7729,10.225,8.18544,6.55273,5.2457,21.0538
1898,1122.96,899.224,719.926,575.786,460.191,367.624,293.516,234.161,186.679,148.815,118.672,94.7244,75.6855,60.5163,48.4099,38.7367,31.0018,24.814,19.8625,15.8996,12.7277,10.1888,8.1564,6.52945,5.22705,20.9788
1899,1122.66,898.971,719.704,575.58,459.964,367.413,293.4,234.202,186.817,148.923,118.711,94.6629,75.5591,60.3715,48.2712,38.6143,30.8983,24.7285,19.7928,15.8432,12.6823,10.1522,8.12704,6.50591,5.20818,20.903
1900,1122.39,898.737,719.499,575.391,459.785,367.217,293.218,234.097,186.84,149.025,118.791,94.6892,75.5057,60.2672,48.1529,38.5014,30.7989,24.6446,19.7235,15.7867,12.6366,10.1154,8.09741,6.48212,5.18911,20.8262
1901,1122.07,898.521,719.279,575.077,459.438,366.876,292.882,233.799,186.629,148.939,118.788,94.6851,75.4725,60.1812,48.035,38.3793,30.6866,24.5475,19.6423,15.7201,12.5824,10.0716,8.06217,6.45381,5.16639,20.7348
