"Label","Base model","no_fishery_ages","combMF","no_unsexed","DM"
"TOTAL likelihood (diff from base)",0,-2828.04,7.92999999999938,-995.43,-344201.02
"Survey likelihood (diff from base)",0,-1.44,0.00600000000000023,-0.300999999999988,8.49000000000001
"Length comp likelihood (diff from base)",0,-213.09,-2.53999999999996,-924.92,-385274.36
"Age comp likelihood (diff from base)",0,-2614.891,10.25,-73.3499999999999,40963.2
"Discard likelihood (diff from base)",0,-1.59870000000001,0.0395000000000039,5.8555,13.5056
"Parm priors likelihood (diff from base)",0,0.138965,0.00745799999999999,0.201535,77.086643
"Recr Virgin millions",16.7346,11.8395,17.2746,24.8197,9.13638
"SR BH steep",0.80139,0.774177,0.803152,0.838176,0.859132
"M Female ",0.417839,0.326487,0.420378,0.465922,0.371332
"M Male ",0.413968,0.289519,0.415496,0.441544,0.362344
"SSB Virgin 1000 mt",17.16,24.501,17.387,17.771,13.361
"SSB 2021 1000 mt",11.01,17.623,11.319,10.633,6.777
"Fraction unfished 2021",0.641626,0.719302,0.650979,0.598322,0.507221
"Fishing intensity 2020",0.26195,0.216461,0.253351,0.221282,0.443286
"Retained Catch MSY mt",3937.89,4323.34,4044.7,5503.93,2775.54
"Dead Catch MSY mt",4222.53,4536.78,4340.94,5862.19,3009.08
"Virgin age 3+ bio 1000 mt",32.693,45.9973,33.2755,37.0237,24.961
"OFL mt 2021",5084.77,6421.62,5297.6,6227.24,2699.85
