"Label","Base model","no_fishery_ages"
"TOTAL likelihood (diff from base)",0,-2828.04
"Survey likelihood (diff from base)",0,-1.44
"Length comp likelihood (diff from base)",0,-213.09
"Age comp likelihood (diff from base)",0,-2614.891
"Discard likelihood (diff from base)",0,-1.59870000000001
"Parm priors likelihood (diff from base)",0,0.138965
"Recr Virgin millions",16.7346,11.8395
"SR BH steep",0.80139,0.774177
"M Female ",0.417839,0.326487
"M Male ",0.413968,0.289519
"SSB Virgin 1000 mt",17.16,24.501
"SSB 2021 1000 mt",11.01,17.623
"Fraction unfished 2021",0.641626,0.719302
"Fishing intensity 2020",0.26195,0.216461
"Retained Catch MSY mt",3937.89,4323.34
"Dead Catch MSY mt",4222.53,4536.78
"Virgin age 3+ bio 1000 mt",32.693,45.9973
"OFL mt 2021",5084.77,6421.62
